Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Burnout_Risk,Occupation,Education_Level,Chronic_OHE_No,Chronic_OHE_Yes
38.0,0,0,63,3.2,8.7,2,7.6,30.0,1,0,0,13,4,1,0
37.0,2,2,24,8.2,5.3,1,1.3,14.0,5,1,1,16,3,1,0
27.0,1,0,60,6.9,8.3,2,7.5,58.0,1,1,0,2,2,1,0
56.0,2,2,35,2.9,6.3,1,5.0,38.0,5,0,0,3,0,1,0
43.0,2,3,54,5.3,4.5,0,5.4,9.0,3,2,2,7,3,0,1
21.0,0,2,51,8.2,4.1,0,9.5,33.0,5,0,0,0,2,1,0
28.0,0,2,22,4.9,7.1,2,8.6,0.0,2,0,0,11,2,1,0
22.0,0,2,32,5.6,4.0,0,2.9,30.0,7,0,0,9,0,1,0
49.0,1,2,43,3.0,6.5,1,4.6,47.0,6,0,0,11,2,1,0
55.0,1,3,54,4.5,6.4,1,3.6,49.0,1,1,0,12,1,1,0
46.0,2,2,28,12.0,8.8,2,1.2,3.0,6,0,0,13,1,1,0
45.0,2,3,33,5.4,5.0,1,9.1,17.0,3,0,0,14,2,1,0
49.0,0,3,58,11.7,4.2,0,5.0,57.0,7,1,2,7,0,1,0
65.0,2,1,32,12.6,4.9,0,8.4,51.0,7,0,0,2,2,1,0
55.0,2,1,62,6.0,8.2,2,4.0,6.0,6,2,2,12,4,0,1
54.0,0,0,59,3.2,9.5,3,2.2,36.0,1,0,0,2,2,1,0
41.4,0,3,44,11.5,6.1,1,1.0,30.0,3,1,1,18,1,1,0
39.0,2,3,47,6.0,7.6,2,1.6,6.0,8,1,1,14,2,1,0
19.0,1,3,50,5.2,8.7,2,4.9,42.0,5,1,0,9,2,1,0
55.0,1,3,50,7.7,9.2,3,5.7,15.0,0,0,0,19,3,1,0
53.0,0,3,53,7.0,7.7,2,7.8,7.0,1,1,1,4,0,1,0
61.0,2,1,50,6.5,4.3,0,9.2,57.0,4,0,0,19,3,1,0
41.0,1,1,53,4.1,4.8,0,8.8,1.0,0,0,0,0,2,1,0
29.0,0,1,64,6.6,8.5,2,0.9,1.0,3,1,2,13,0,1,0
63.0,2,3,49,11.9,5.5,1,3.0,33.0,8,1,2,11,3,1,0
56.0,0,2,36,6.7,7.0,3,9.1,25.0,3,0,0,4,1,1,0
65.0,0,1,27,9.6,6.8,1,4.7,55.0,7,1,0,4,0,1,0
58.0,1,3,30,7.9,8.6,2,5.8,10.0,6,1,1,19,2,1,0
37.0,1,1,39,10.7,8.9,2,9.5,29.0,2,0,0,3,4,1,0
42.0,2,2,61,10.3,8.0,2,8.4,3.0,8,2,2,13,4,0,1
25.0,1,0,42,3.9,9.8,3,7.0,18.0,7,0,0,5,4,1,0
21.0,1,1,27,12.7,6.6,1,0.9,48.0,2,1,1,19,0,1,0
48.0,0,0,30,9.1,4.4,0,1.0,58.0,2,0,0,0,2,1,0
54.0,2,2,50,9.7,8.4,2,3.5,43.0,0,1,0,16,0,1,0
54.0,0,1,21,2.4,8.5,2,1.0,26.0,4,0,0,14,3,1,0
40.0,2,1,51,10.9,9.4,3,1.4,45.0,3,1,0,13,4,1,0
21.0,2,0,28,9.2,5.0,1,1.0,42.0,6,1,0,2,3,1,0
61.0,0,1,57,10.5,7.0,2,5.7,42.0,8,2,1,10,1,0,1
36.0,1,1,63,4.7,7.7,2,7.4,55.0,8,1,0,13,2,1,0
61.0,1,2,55,9.0,6.6,1,2.6,10.0,2,2,2,0,4,0,1
50.0,1,3,33,6.3,5.3,1,6.6,21.0,8,1,1,13,4,1,0
41.0,2,2,52,4.0,5.2,1,0.8,6.0,0,1,1,1,3,1,0
34.0,2,1,45,6.7,6.7,1,4.3,1.0,1,1,1,2,1,1,0
43.0,2,1,29,8.9,9.2,3,1.2,0.0,1,0,0,10,0,1,0
53.0,0,1,32,13.4,5.5,1,7.3,31.0,3,0,0,13,2,1,0
32.0,2,1,50,11.3,8.4,2,4.6,22.0,1,1,1,18,0,1,0
48.0,2,3,38,8.1,8.4,2,1.3,32.0,3,0,0,10,0,1,0
20.0,2,3,22,3.2,9.3,3,9.8,20.0,4,0,0,7,0,1,0
18.0,2,0,33,6.3,7.9,2,1.5,10.0,3,1,1,1,1,1,0
58.0,2,2,53,13.6,9.5,3,9.6,38.0,4,1,1,2,1,1,0
22.0,1,2,52,3.8,7.1,2,6.8,52.0,0,0,0,3,1,1,0
65.0,2,0,25,8.5,8.6,2,2.8,56.0,0,0,0,12,3,1,0
61.0,0,3,50,8.9,7.4,2,2.5,19.0,2,1,1,5,3,1,0
45.0,1,1,44,9.4,4.2,0,9.3,25.0,0,0,0,11,1,1,0
23.0,0,3,20,13.0,5.2,1,7.4,4.0,8,1,1,3,0,1,0
50.0,0,1,48,7.8,5.5,1,9.7,36.0,7,0,0,12,4,1,0
61.0,2,0,56,11.0,6.1,1,2.7,60.0,3,1,0,6,4,1,0
49.0,2,1,28,7.1,8.5,2,0.5,51.0,5,0,0,14,1,1,0
29.0,2,3,51,10.4,6.2,1,4.2,26.0,4,2,2,16,0,0,1
29.0,0,1,56,10.3,5.5,1,5.0,6.0,7,2,2,10,4,0,1
50.0,0,3,29,11.7,6.8,1,8.7,40.0,6,0,0,1,2,1,0
44.0,1,0,64,4.0,9.6,3,7.5,13.0,7,1,2,17,1,1,0
26.0,2,1,54,7.3,6.8,1,9.3,35.0,2,0,0,17,2,1,0
26.0,0,2,50,7.2,9.7,3,3.0,49.0,0,0,0,14,4,1,0
57.0,2,1,31,9.6,9.1,3,1.4,7.0,7,0,0,11,0,1,0
31.0,0,1,41,13.4,8.7,2,5.0,48.0,1,0,1,9,3,1,0
31.0,0,0,55,7.8,4.3,0,5.2,16.0,0,2,2,9,0,0,1
48.0,2,2,63,13.6,7.0,2,6.2,59.0,5,2,2,10,0,0,1
46.0,2,0,40,12.4,7.3,2,7.3,17.0,2,1,0,13,3,1,0
42.0,1,0,61,8.3,5.9,1,3.2,30.0,2,1,1,14,4,1,0
59.0,0,1,46,10.5,7.0,3,8.2,50.0,0,0,0,1,2,1,0
61.0,0,0,41,14.0,6.4,1,6.6,34.0,5,2,2,18,2,0,1
20.0,0,0,34,2.3,5.8,1,2.1,20.0,4,0,0,17,4,1,0
64.0,1,0,26,2.4,8.2,2,6.0,19.0,0,0,0,4,3,1,0
27.0,1,2,45,3.0,5.7,1,1.5,21.0,6,1,1,3,3,1,0
45.0,0,2,42,9.1,6.5,1,1.9,22.0,5,1,1,2,2,1,0
25.0,0,1,33,5.1,7.2,2,5.5,48.0,2,0,0,14,2,1,0
60.0,0,3,65,7.8,7.1,2,1.0,20.0,3,1,1,17,0,1,0
21.0,2,1,45,10.8,6.1,1,6.6,5.0,3,1,1,3,2,1,0
45.0,1,1,66,12.1,7.2,2,1.2,20.0,5,2,2,2,1,0,1
56.0,1,2,58,6.5,4.8,0,4.7,41.0,2,0,1,17,0,1,0
38.0,0,2,66,13.3,8.9,2,3.1,39.0,0,1,1,18,3,1,0
36.0,0,2,49,3.1,7.0,3,8.3,28.0,8,0,0,18,0,1,0
46.0,2,3,44,11.2,9.7,3,5.5,2.0,2,0,0,6,4,1,0
49.0,2,0,49,9.2,8.0,2,4.1,5.0,4,1,0,8,3,1,0
61.0,0,0,22,5.9,7.5,2,0.9,19.0,6,0,0,8,4,1,0
48.0,2,3,56,13.1,5.6,1,10.0,22.0,7,2,2,8,0,0,1
31.0,1,1,55,3.4,5.8,1,3.2,0.0,0,1,1,5,0,1,0
37.0,2,2,70,5.4,8.1,2,3.5,9.0,8,2,2,4,4,0,1
31.0,2,1,48,7.8,9.5,3,5.1,51.0,7,0,0,0,2,1,0
39.0,0,1,60,4.4,8.6,2,8.9,20.0,7,1,0,12,4,1,0
22.0,0,3,63,2.6,4.2,0,0.5,24.0,7,1,2,4,4,1,0
63.0,0,0,45,10.0,9.5,3,1.8,58.0,7,1,1,16,1,1,0
22.0,0,3,30,2.8,5.5,1,9.7,24.0,6,0,0,1,3,1,0
22.0,2,1,25,12.6,8.0,2,2.2,8.0,0,1,0,8,3,1,0
50.0,0,1,55,3.3,4.0,0,8.2,22.0,6,1,1,9,2,1,0
60.0,1,2,62,3.0,9.3,3,4.4,8.0,7,1,1,17,2,1,0
54.0,0,3,64,10.8,7.5,2,0.8,46.0,4,1,2,19,4,1,0
41.4,0,1,50,2.6,4.4,0,5.8,36.0,0,0,0,19,4,1,0
65.0,1,0,31,2.4,5.4,1,8.0,55.0,2,0,0,1,0,1,0
37.0,0,3,36,7.2,6.3,1,1.5,55.0,6,1,1,13,1,1,0
51.0,0,2,20,3.2,9.0,3,4.1,33.0,4,0,0,0,0,1,0
62.0,1,2,37,12.8,9.5,3,7.7,44.0,2,0,0,9,3,1,0
49.0,1,0,48,2.4,4.6,0,7.2,6.0,7,2,1,13,3,1,0
22.0,2,3,42,6.8,7.2,2,3.3,19.0,1,1,0,17,3,1,0
49.0,1,0,57,2.8,4.2,0,2.4,24.0,8,2,1,1,1,1,0
19.0,0,0,39,7.5,7.8,2,8.2,6.0,1,0,0,19,1,1,0
25.0,0,1,57,11.5,6.6,1,0.4,6.0,2,1,1,18,1,1,0
57.0,2,3,70,2.1,7.8,2,3.0,26.0,8,2,2,8,1,0,1
41.0,0,1,67,4.1,4.3,0,0.5,34.0,1,2,2,18,0,0,1
42.0,1,3,59,6.5,4.9,0,4.5,24.0,5,1,1,14,4,1,0
56.0,1,0,51,9.1,9.1,3,8.6,13.0,6,1,2,8,1,1,0
41.4,0,3,20,13.4,7.0,2,6.9,26.0,1,0,0,12,3,1,0
62.0,0,3,54,11.5,9.7,3,5.8,13.0,0,1,1,19,0,1,0
48.0,2,0,52,2.7,9.4,3,6.8,17.0,8,1,1,2,1,1,0
25.0,2,0,46,13.2,4.1,0,9.7,34.0,0,0,0,14,1,1,0
37.0,1,1,38,9.4,4.9,0,4.6,10.0,2,1,0,16,3,1,0
52.0,1,2,49,2.1,8.6,2,9.3,9.0,5,1,0,9,2,1,0
32.0,0,2,53,11.2,5.2,1,2.2,59.0,7,2,2,6,0,0,1
40.0,0,2,67,7.3,9.3,3,9.9,51.0,6,0,0,1,4,1,0
47.0,2,0,22,12.0,7.3,2,8.2,19.0,7,0,0,10,1,1,0
56.0,2,3,64,8.2,8.1,2,8.2,23.0,2,1,1,2,3,1,0
50.0,1,0,63,10.2,9.2,3,8.0,17.0,5,2,2,0,2,0,1
51.0,2,3,28,6.2,4.7,0,9.2,30.0,7,0,0,13,2,1,0
25.0,1,2,62,7.6,4.2,0,5.1,3.0,4,2,2,14,3,0,1
64.0,2,2,53,13.6,8.6,2,2.2,12.0,0,1,2,7,4,1,0
38.0,1,0,55,8.0,8.2,2,5.0,5.0,4,1,1,12,4,1,0
23.0,1,2,32,12.1,6.2,1,3.4,38.0,6,1,1,3,3,1,0
58.0,1,2,31,5.9,4.2,0,3.8,43.0,1,0,0,12,2,1,0
42.0,0,0,39,7.9,9.2,3,8.8,10.0,7,1,0,19,2,1,0
20.0,1,2,47,6.9,6.3,1,3.5,22.0,3,1,1,15,4,1,0
38.0,0,2,33,11.7,8.1,2,3.4,32.0,4,1,1,3,0,1,0
35.0,1,3,61,11.6,8.8,2,8.2,30.0,3,2,2,7,3,0,1
57.0,0,0,29,5.6,4.9,0,7.5,48.0,1,0,0,19,4,1,0
45.0,0,0,70,8.6,4.2,0,8.0,42.0,7,2,2,19,1,0,1
51.0,2,3,69,12.0,7.6,2,8.1,21.0,3,1,1,7,0,1,0
61.0,1,3,58,9.9,4.1,0,0.3,47.0,3,2,2,10,0,0,1
28.0,0,2,51,13.1,8.9,2,4.7,26.0,1,1,1,4,3,1,0
38.0,2,0,61,9.1,9.8,3,7.6,54.0,7,1,0,12,1,1,0
53.0,2,3,30,7.1,8.2,2,0.5,39.0,5,1,0,16,2,1,0
31.0,2,3,21,4.8,8.8,2,2.9,16.0,7,0,0,9,1,1,0
48.0,0,2,39,6.5,7.7,2,9.8,42.0,2,0,0,8,2,1,0
35.0,2,1,47,10.8,7.1,2,8.9,20.0,8,1,1,18,0,1,0
53.0,0,0,38,11.0,4.6,0,1.8,10.0,3,1,1,14,2,1,0
27.0,1,3,20,9.9,7.6,2,3.3,2.0,2,0,0,1,3,1,0
43.0,0,1,39,3.6,8.4,2,9.0,38.0,8,0,0,10,2,1,0
61.0,1,2,50,10.2,6.6,1,3.0,8.0,6,1,1,10,3,1,0
60.0,0,2,39,7.5,9.3,3,3.1,46.0,4,0,0,0,3,1,0
47.0,2,1,63,6.7,6.2,1,9.6,43.0,0,0,0,8,3,1,0
25.0,1,3,32,12.0,7.5,2,5.0,53.0,6,0,0,1,3,1,0
35.0,2,3,64,5.5,6.1,1,4.4,10.0,3,1,1,14,2,1,0
28.0,2,3,23,12.6,5.3,1,10.0,22.0,8,1,1,12,3,1,0
62.0,2,3,70,12.3,9.8,3,6.1,50.0,8,1,2,12,2,1,0
46.0,0,3,25,11.1,7.0,2,2.7,45.0,2,0,1,17,1,1,0
38.0,0,2,61,2.7,8.0,2,1.5,36.0,8,2,1,0,3,1,0
59.0,0,0,41,10.9,4.2,0,3.9,46.0,4,1,1,15,3,1,0
41.0,0,2,48,8.0,9.6,3,5.0,47.0,8,0,0,7,0,1,0
63.0,0,2,48,8.3,6.9,1,0.8,43.0,6,1,2,6,2,1,0
31.0,0,1,27,5.5,9.1,3,1.2,36.0,4,0,0,19,1,1,0
53.0,0,3,41,12.0,7.4,2,7.8,30.0,2,0,0,19,3,1,0
54.0,2,2,59,2.6,4.5,0,5.4,48.0,7,0,1,9,4,1,0
29.0,0,3,26,3.7,4.7,0,5.4,18.0,4,1,0,7,0,1,0
25.0,1,0,44,2.7,8.5,2,9.5,17.0,7,0,0,16,4,1,0
41.0,2,3,49,5.5,4.3,0,9.6,39.0,7,1,1,16,4,1,0
35.0,0,1,68,5.0,7.8,2,7.1,17.0,7,1,1,8,4,1,0
60.0,0,3,69,3.5,6.3,1,5.0,0.0,0,1,1,12,0,1,0
30.0,2,3,67,9.2,5.2,1,5.7,43.0,1,2,2,12,0,0,1
44.0,0,3,66,13.0,8.6,2,2.2,17.0,6,2,2,7,3,0,1
19.0,0,1,35,2.7,4.6,0,9.6,53.0,1,0,0,17,4,1,0
22.0,1,2,59,12.4,6.4,1,7.5,14.0,7,2,2,19,4,0,1
30.0,2,1,48,11.6,8.3,2,1.9,8.0,6,1,1,7,0,1,0
58.0,1,3,58,8.9,9.9,3,6.9,30.0,6,1,1,4,1,1,0
29.0,1,1,38,9.0,4.7,0,4.4,30.0,0,0,0,17,2,1,0
61.0,1,0,43,8.3,5.4,1,6.6,60.0,6,0,0,12,0,1,0
38.0,1,3,50,2.8,4.5,0,7.9,39.0,8,0,1,11,1,1,0
46.0,1,3,43,3.6,4.9,0,2.5,5.0,5,1,1,5,0,1,0
32.0,0,2,61,13.1,7.1,2,0.8,17.0,0,2,2,6,0,0,1
55.0,2,0,67,8.2,5.4,1,2.1,14.0,7,2,2,14,4,0,1
60.0,0,3,64,9.0,8.6,2,5.4,20.0,2,1,1,16,3,1,0
61.0,2,3,44,5.5,5.2,1,2.8,14.0,5,1,1,19,4,1,0
63.0,2,1,63,2.1,7.0,2,4.6,12.0,6,1,1,0,4,1,0
64.0,0,2,35,5.3,7.0,3,8.9,10.0,1,0,0,3,1,1,0
22.0,2,1,20,13.0,6.4,1,2.5,45.0,7,1,1,1,3,1,0
43.0,1,0,65,8.4,5.1,1,0.3,43.0,8,2,2,17,0,0,1
18.0,0,2,22,11.8,8.3,2,4.2,6.0,3,0,0,6,1,1,0
35.0,2,2,58,10.6,5.8,1,5.0,6.0,2,2,2,15,2,0,1
32.0,2,2,67,9.4,5.9,1,4.3,15.0,4,2,2,17,1,0,1
64.0,0,2,64,12.5,8.8,2,7.2,38.0,0,1,0,16,1,1,0
30.0,1,0,60,11.4,7.5,2,2.0,55.0,6,2,2,0,4,0,1
53.0,2,3,55,6.0,5.7,1,6.1,4.0,3,1,2,11,3,1,0
28.0,1,1,64,9.8,6.9,1,3.7,3.0,3,2,2,18,0,0,1
59.0,2,2,30,10.3,9.3,3,8.3,16.0,6,0,0,3,4,1,0
62.0,0,3,65,4.2,6.2,1,1.3,31.0,3,1,1,18,0,1,0
39.0,1,3,37,10.0,4.1,0,7.5,0.0,3,1,1,16,3,1,0
39.0,1,0,53,11.0,4.7,0,2.8,44.0,7,2,2,1,3,0,1
48.0,2,1,53,12.3,8.3,2,8.8,50.0,1,1,0,12,3,1,0
35.0,1,2,60,11.5,9.5,3,7.3,5.0,1,1,1,11,3,1,0
41.4,0,2,32,5.8,7.5,2,8.5,27.0,2,0,0,4,3,1,0
37.0,2,3,65,13.8,7.0,2,9.7,3.0,3,2,2,12,0,0,1
64.0,0,3,70,2.6,5.9,1,5.8,51.0,2,1,1,5,4,1,0
48.0,1,1,60,2.4,9.8,3,7.2,15.0,2,0,0,12,4,1,0
54.0,2,0,64,3.5,10.0,3,4.3,36.0,8,1,1,11,2,1,0
46.0,0,0,36,3.0,4.5,0,8.5,2.0,8,1,0,19,1,1,0
62.0,1,2,33,8.6,5.8,1,9.6,38.0,6,0,0,19,1,1,0
30.0,2,0,70,13.6,5.9,1,4.3,1.0,8,2,2,2,4,0,1
25.0,1,3,56,5.3,6.1,1,8.7,35.0,5,1,1,9,4,1,0
21.0,2,3,42,5.4,6.6,1,8.0,32.0,3,0,0,15,1,1,0
18.0,0,3,63,3.5,8.1,2,8.9,44.0,0,0,1,7,1,1,0
45.0,0,2,54,3.4,5.5,1,8.5,54.0,3,0,0,0,0,1,0
18.0,0,1,32,12.8,6.6,1,0.8,32.0,0,1,1,0,3,1,0
45.0,1,0,46,2.4,4.8,0,7.4,57.0,4,0,1,5,2,1,0
50.0,1,1,47,7.8,8.4,2,4.8,18.0,2,0,0,16,2,1,0
35.0,1,0,53,13.8,6.3,1,3.1,40.0,0,1,1,18,2,1,0
38.0,1,2,51,3.3,5.5,1,3.6,19.0,2,1,1,14,0,1,0
59.0,1,2,66,4.4,6.1,1,4.7,48.0,3,1,0,1,2,1,0
21.0,2,2,44,6.8,8.5,2,5.6,24.0,2,1,0,3,3,1,0
20.0,2,1,33,9.8,9.9,3,5.3,0.0,5,1,1,11,1,1,0
55.0,1,0,33,12.3,5.9,1,5.8,51.0,6,0,0,3,0,1,0
43.0,2,0,61,10.7,5.5,1,9.7,6.0,0,1,0,5,2,1,0
39.0,2,3,39,4.9,8.9,2,3.3,9.0,8,0,0,5,1,1,0
59.0,0,3,38,6.0,5.3,1,3.6,39.0,1,0,0,3,2,1,0
34.0,2,0,66,11.8,6.3,1,8.0,30.0,4,1,1,17,1,1,0
49.0,2,0,46,10.3,7.5,2,5.3,49.0,3,0,0,14,4,1,0
53.0,0,2,65,2.3,9.8,3,1.4,46.0,1,0,0,5,1,1,0
48.0,0,2,61,4.1,4.9,0,0.3,48.0,6,1,1,4,3,1,0
65.0,2,3,44,6.5,7.9,2,1.6,51.0,1,0,0,6,3,1,0
54.0,2,2,39,11.0,4.6,0,0.1,22.0,5,1,1,2,3,1,0
23.0,2,0,66,13.2,7.1,2,6.1,33.0,5,1,1,16,1,1,0
37.0,2,3,30,6.4,9.6,3,0.7,36.0,7,0,0,14,2,1,0
50.0,2,3,63,2.7,5.6,1,0.4,41.0,8,1,2,15,2,1,0
47.0,1,3,24,7.8,6.4,1,3.2,38.0,4,0,0,0,2,1,0
19.0,2,0,45,10.5,4.4,0,0.8,55.0,4,1,1,11,0,1,0
18.0,2,0,66,10.8,9.9,3,7.4,47.0,2,1,1,5,2,1,0
56.0,0,0,43,5.6,9.7,3,8.1,30.0,1,0,0,15,1,1,0
52.0,0,1,26,9.4,10.0,3,0.9,1.0,8,1,0,9,3,1,0
59.0,2,1,62,12.8,5.7,1,2.6,53.0,0,1,1,3,2,1,0
59.0,0,0,31,8.2,9.9,3,4.0,20.0,2,0,0,2,3,1,0
