Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Burnout_Score,Productivity_Score,Mental_Health_Status
51.0,Other,Student,32,4.0,9.4,Excellent,5.7,9.0,3,Low,No,Low,0,90.0,Healthy
55.0,Male,Student,24,2.4,9.6,Excellent,9.9,30.0,6,Low,No,Low,5,90.0,Healthy
61.0,Other,Unemployed,29,12.5,6.8,Average,2.8,59.0,6,Low,No,Low,19,70.0,Healthy
21.0,Male,Self-Employed,40,3.7,8.6,Good,2.4,56.0,4,Low,No,Low,16,80.0,Healthy
52.0,Female,Employed,46,6.7,7.4,Good,5.6,8.0,1,Moderate,No,Moderate,45,44.0,Needs Attention
37.0,Male,Unemployed,33,8.6,7.6,Good,4.0,15.0,8,Moderate,No,Low,39,65.0,Healthy
65.0,Male,Unemployed,34,4.9,5.2,Average,3.8,53.0,5,Low,No,Low,17,62.0,Healthy
58.0,Male,Employed,59,9.4,6.2,Average,,59.0,0,Moderate,No,Low,36,53.0,Healthy
34.0,Female,Self-Employed,64,11.9,7.4,Good,2.3,43.0,0,Moderate,No,High,73,17.0,Critical
62.0,Other,Student,56,13.1,9.4,Excellent,6.6,11.0,2,Moderate,No,Moderate,52,54.0,Needs Attention
22.0,Female,Unemployed,70,4.7,7.8,Good,9.9,31.0,2,Moderate,No,Low,23,47.0,Healthy
46.0,Female,Employed,55,3.2,6.6,Average,5.5,26.0,5,Moderate,No,Moderate,52,42.0,Needs Attention
22.0,Male,Self-Employed,35,9.1,6.2,Average,7.2,31.0,4,Moderate,No,Moderate,45,52.0,Needs Attention
38.0,Female,Employed,70,13.2,5.7,Average,3.9,7.0,2,High,Yes,High,100,2.0,Critical
56.0,Female,Unemployed,43,8.4,8.7,Good,7.0,51.0,3,Low,No,Moderate,50,84.0,Needs Attention
53.0,Other,Unemployed,63,3.8,6.8,Average,5.9,32.0,4,Moderate,No,Moderate,44,68.0,Needs Attention
37.0,Male,Self-Employed,30,4.9,8.1,Good,9.3,47.0,8,Low,No,Low,6,82.0,Healthy
63.0,Male,Employed,27,7.9,5.2,Average,2.6,55.0,6,Low,No,Moderate,43,66.0,Needs Attention
41.0,Other,Unemployed,47,8.4,7.4,Good,1.9,40.0,2,Low,No,Low,35,84.0,Healthy
44.0,Other,Unemployed,70,2.4,7.4,Good,7.6,18.0,7,Moderate,No,High,69,35.0,Critical
40.0,Male,Employed,65,4.0,6.1,Average,6.1,27.0,3,Moderate,No,Moderate,62,41.0,Needs Attention
26.0,Male,Unemployed,37,7.4,7.5,Good,6.3,24.0,1,Low,No,Low,37,78.0,Healthy
38.0,Female,Employed,63,3.2,8.7,Good,7.6,,1,Low,No,Low,5,68.0,Healthy
37.0,Other,Student,24,8.2,5.3,Average,1.3,14.0,5,Moderate,No,Moderate,51,48.0,Needs Attention
27.0,Male,Employed,60,6.9,8.3,Good,7.5,58.0,1,Moderate,No,Low,38,59.0,Healthy
56.0,Other,Student,35,2.9,6.3,Average,5.0,38.0,5,Low,No,Low,39,67.0,Healthy
43.0,Other,Unemployed,54,5.3,4.5,Poor,5.4,9.0,3,High,Yes,High,71,40.0,Critical
21.0,Female,Student,51,8.2,4.1,Poor,9.5,33.0,5,Low,No,Low,35,75.0,Healthy
28.0,Female,Student,22,4.9,7.1,Good,8.6,0.0,2,Low,No,Low,0,100.0,Healthy
22.0,Female,Student,32,5.6,4.0,Poor,2.9,,7,Low,No,Low,16,89.0,Healthy
49.0,Male,Student,43,3.0,6.5,Average,4.6,47.0,6,Low,No,Low,23,82.0,Healthy
55.0,Male,Unemployed,54,4.5,6.4,Average,3.6,49.0,1,Moderate,No,Low,28,44.0,Healthy
46.0,Other,Student,28,12.0,8.8,Good,1.2,3.0,6,Low,No,Low,36,59.0,Healthy
45.0,Other,Unemployed,33,5.4,5.0,Average,9.1,17.0,3,Low,No,Low,28,63.0,Healthy
49.0,Female,Unemployed,58,11.7,4.2,Poor,,57.0,7,Moderate,No,High,68,38.0,Critical
65.0,Other,Self-Employed,32,12.6,4.9,Poor,8.4,51.0,7,Low,No,Low,34,47.0,Healthy
55.0,Other,Self-Employed,62,6.0,8.2,Good,4.0,6.0,6,High,Yes,High,79,17.0,Critical
54.0,Female,Employed,59,3.2,9.5,Excellent,2.2,36.0,1,Low,No,Low,19,69.0,Healthy
,Female,Unemployed,44,11.5,6.1,Average,1.0,30.0,3,Moderate,No,Moderate,50,68.0,Needs Attention
39.0,Other,Unemployed,47,6.0,7.6,Good,1.6,6.0,8,Moderate,No,Moderate,40,50.0,Needs Attention
19.0,Male,Unemployed,50,5.2,8.7,Good,4.9,42.0,5,Moderate,No,Low,25,74.0,Healthy
55.0,Male,Unemployed,50,7.7,9.2,Excellent,5.7,15.0,0,Low,No,Low,1,69.0,Healthy
53.0,Female,Unemployed,53,7.0,7.7,Good,7.8,7.0,1,Moderate,No,Moderate,51,45.0,Needs Attention
61.0,Other,Self-Employed,50,6.5,4.3,Poor,9.2,57.0,4,Low,No,Low,16,82.0,Healthy
41.0,Male,Self-Employed,53,4.1,4.8,Poor,8.8,1.0,0,Low,No,Low,18,80.0,Healthy
29.0,Female,Self-Employed,64,6.6,8.5,Good,0.9,1.0,3,Moderate,No,High,79,49.0,Critical
63.0,Other,Unemployed,49,11.9,5.5,Average,3.0,33.0,8,Moderate,No,High,66,34.0,Critical
56.0,Female,Student,36,6.7,,Excellent,9.1,25.0,3,Low,No,Low,0,86.0,Healthy
65.0,Female,Self-Employed,27,9.6,6.8,Average,4.7,55.0,7,Moderate,No,Low,23,47.0,Healthy
58.0,Male,Unemployed,30,7.9,8.6,Good,5.8,10.0,6,Moderate,No,Moderate,42,51.0,Needs Attention
37.0,Male,Self-Employed,39,10.7,8.9,Good,9.5,29.0,2,Low,No,Low,3,100.0,Healthy
42.0,Other,Student,61,10.3,8.0,Good,8.4,3.0,8,High,Yes,High,68,48.0,Critical
25.0,Male,Employed,42,3.9,9.8,Excellent,7.0,18.0,7,Low,No,Low,0,90.0,Healthy
21.0,Male,Self-Employed,27,12.7,6.6,Average,0.9,48.0,2,Moderate,No,Moderate,60,46.0,Needs Attention
48.0,Female,Employed,30,9.1,4.4,Poor,1.0,58.0,2,Low,No,Low,30,97.0,Healthy
54.0,Other,Student,50,9.7,8.4,Good,3.5,43.0,0,Moderate,No,Low,29,55.0,Healthy
54.0,Female,Self-Employed,21,2.4,8.5,Good,1.0,26.0,4,Low,No,Low,0,94.0,Healthy
40.0,Other,Self-Employed,51,10.9,9.4,Excellent,1.4,45.0,3,Moderate,No,Low,27,49.0,Healthy
21.0,Other,Employed,28,9.2,5.0,Average,1.0,42.0,6,Moderate,No,Low,32,68.0,Healthy
61.0,Female,Self-Employed,57,10.5,,Good,5.7,42.0,8,High,Yes,Moderate,59,14.0,Needs Attention
36.0,Male,Self-Employed,63,4.7,7.7,Good,7.4,55.0,8,Moderate,No,Low,38,49.0,Healthy
61.0,Male,Student,55,9.0,6.6,Average,2.6,10.0,2,High,Yes,High,80,35.0,Critical
50.0,Male,Unemployed,33,6.3,5.3,Average,6.6,21.0,8,Moderate,No,Moderate,54,68.0,Needs Attention
41.0,Other,Student,52,4.0,5.2,Average,0.8,6.0,0,Moderate,No,Moderate,56,43.0,Needs Attention
34.0,Other,Self-Employed,45,6.7,6.7,Average,4.3,1.0,1,Moderate,No,Moderate,43,43.0,Needs Attention
43.0,Other,Self-Employed,29,8.9,9.2,Excellent,1.2,0.0,1,Low,No,Low,9,100.0,Healthy
53.0,Female,Self-Employed,32,13.4,5.5,Average,7.3,31.0,3,Low,No,Low,33,64.0,Healthy
32.0,Other,Self-Employed,50,11.3,8.4,Good,4.6,22.0,1,Moderate,No,Moderate,54,67.0,Needs Attention
48.0,Other,Unemployed,38,8.1,8.4,Good,1.3,32.0,3,Low,No,Low,25,87.0,Healthy
20.0,Other,Unemployed,22,3.2,9.3,Excellent,9.8,20.0,4,Low,No,Low,1,100.0,Healthy
18.0,Other,Employed,33,6.3,7.9,Good,1.5,10.0,3,Moderate,No,Moderate,43,75.0,Needs Attention
58.0,Other,Student,53,13.6,9.5,Excellent,9.6,38.0,4,Moderate,No,Moderate,56,48.0,Needs Attention
22.0,Male,Student,52,3.8,7.1,Good,6.8,52.0,0,Low,No,Low,3,91.0,Healthy
65.0,Other,Employed,25,8.5,8.6,Good,2.8,56.0,0,Low,No,Low,0,100.0,Healthy
61.0,Female,Unemployed,50,8.9,7.4,Good,2.5,19.0,2,Moderate,No,Moderate,45,60.0,Needs Attention
45.0,Male,Self-Employed,44,9.4,4.2,Poor,9.3,25.0,0,Low,No,Low,6,100.0,Healthy
23.0,Female,Unemployed,20,13.0,5.2,Average,7.4,4.0,8,Moderate,No,Moderate,61,46.0,Needs Attention
50.0,Female,Self-Employed,48,7.8,5.5,Average,9.7,36.0,7,Low,No,Low,35,68.0,Healthy
61.0,Other,Employed,56,11.0,6.1,Average,2.7,60.0,3,Moderate,No,Low,33,50.0,Healthy
49.0,Other,Self-Employed,28,7.1,8.5,Good,0.5,51.0,5,Low,No,Low,10,100.0,Healthy
29.0,Other,Unemployed,51,10.4,6.2,Average,4.2,26.0,4,High,Yes,High,86,22.0,Critical
29.0,Female,Self-Employed,56,10.3,5.5,Average,,6.0,7,High,Yes,High,83,19.0,Critical
50.0,Female,Unemployed,29,11.7,6.8,Average,8.7,40.0,6,Low,No,Low,32,78.0,Healthy
44.0,Male,Employed,64,4.0,9.6,Excellent,7.5,13.0,7,Moderate,No,High,68,33.0,Critical
26.0,Other,Self-Employed,54,7.3,6.8,Average,9.3,35.0,2,Low,No,Low,34,53.0,Healthy
26.0,Female,Student,50,7.2,9.7,Excellent,3.0,49.0,0,Low,No,Low,38,71.0,Healthy
57.0,Other,Self-Employed,31,9.6,9.1,Excellent,1.4,7.0,7,Low,No,Low,19,50.0,Healthy
31.0,Female,Self-Employed,41,13.4,8.7,Good,,48.0,1,Low,No,Moderate,43,51.0,Needs Attention
31.0,Female,Employed,55,7.8,4.3,Poor,5.2,16.0,0,High,Yes,High,84,23.0,Critical
48.0,Other,Student,63,13.6,7.0,Good,6.2,59.0,5,High,Yes,High,85,20.0,Critical
46.0,Other,Employed,40,12.4,7.3,Good,7.3,17.0,2,Moderate,No,Low,22,55.0,Healthy
42.0,Male,Employed,61,8.3,5.9,Average,3.2,,2,Moderate,No,Moderate,58,28.0,Needs Attention
59.0,Female,Self-Employed,46,10.5,,Excellent,8.2,50.0,0,Low,No,Low,6,99.0,Healthy
61.0,Female,Employed,41,14.0,6.4,Average,6.6,34.0,5,High,Yes,High,78,29.0,Critical
20.0,Female,Employed,34,2.3,5.8,Average,2.1,20.0,4,Low,No,Low,26,63.0,Healthy
64.0,Male,Employed,26,2.4,8.2,Good,6.0,19.0,0,Low,No,Low,7,100.0,Healthy
27.0,Male,Student,45,3.0,5.7,Average,1.5,21.0,6,Moderate,No,Moderate,60,28.0,Needs Attention
45.0,Female,Student,42,9.1,6.5,Average,1.9,22.0,5,Moderate,No,Moderate,41,65.0,Needs Attention
25.0,Female,Self-Employed,33,5.1,7.2,Good,5.5,48.0,2,Low,No,Low,10,97.0,Healthy
60.0,Female,Unemployed,65,7.8,7.1,Good,1.0,20.0,3,Moderate,No,Moderate,63,39.0,Needs Attention
21.0,Other,Self-Employed,45,10.8,6.1,Average,6.6,5.0,3,Moderate,No,Moderate,63,53.0,Critical
45.0,Male,Self-Employed,66,12.1,7.2,Good,1.2,20.0,5,High,Yes,High,88,19.0,Critical
56.0,Male,Student,58,6.5,4.8,Poor,4.7,41.0,2,Low,No,Moderate,49,67.0,Needs Attention
38.0,Female,Student,66,13.3,8.9,Good,3.1,39.0,0,Moderate,No,Moderate,49,66.0,Needs Attention
36.0,Female,Student,49,3.1,,Excellent,8.3,28.0,8,Low,No,Low,26,61.0,Healthy
46.0,Other,Unemployed,44,11.2,9.7,Excellent,5.5,2.0,2,Low,No,Low,17,79.0,Healthy
49.0,Other,Employed,49,9.2,8.0,Good,4.1,5.0,4,Moderate,No,Low,32,59.0,Healthy
61.0,Female,Employed,22,5.9,7.5,Good,0.9,19.0,6,Low,No,Low,10,98.0,Healthy
48.0,Other,Unemployed,56,13.1,5.6,Average,10.0,22.0,7,High,Yes,High,68,26.0,Critical
31.0,Male,Self-Employed,55,3.4,5.8,Average,3.2,0.0,0,Moderate,No,Moderate,54,49.0,Needs Attention
37.0,Other,Student,70,5.4,8.1,Good,3.5,9.0,8,High,Yes,High,100,4.0,Critical
31.0,Other,Self-Employed,48,7.8,9.5,Excellent,5.1,51.0,7,Low,No,Low,29,84.0,Healthy
39.0,Female,Self-Employed,60,4.4,8.6,Good,8.9,20.0,7,Moderate,No,Low,20,62.0,Healthy
22.0,Female,Unemployed,63,2.6,4.2,Poor,0.5,24.0,7,Moderate,No,High,87,37.0,Critical
63.0,Female,Employed,45,10.0,9.5,Excellent,1.8,58.0,7,Moderate,No,Moderate,58,55.0,Needs Attention
22.0,Female,Unemployed,30,2.8,5.5,Average,9.7,24.0,6,Low,No,Low,0,89.0,Healthy
22.0,Other,Self-Employed,25,12.6,8.0,Good,2.2,8.0,0,Moderate,No,Low,31,75.0,Healthy
50.0,Female,Self-Employed,55,3.3,4.0,Poor,8.2,22.0,6,Moderate,No,Moderate,62,44.0,Needs Attention
60.0,Male,Student,62,3.0,9.3,Excellent,4.4,8.0,7,Moderate,No,Moderate,63,35.0,Needs Attention
54.0,Female,Unemployed,64,10.8,7.5,Good,0.8,46.0,4,Moderate,No,High,71,26.0,Critical
,Female,Self-Employed,50,2.6,4.4,Poor,5.8,36.0,0,Low,No,Low,0,81.0,Healthy
65.0,Male,Employed,31,2.4,5.4,Average,8.0,55.0,2,Low,No,Low,0,100.0,Healthy
37.0,Female,Unemployed,36,7.2,6.3,Average,1.5,55.0,6,Moderate,No,Moderate,42,65.0,Needs Attention
51.0,Female,Student,20,3.2,9.0,Excellent,4.1,33.0,4,Low,No,Low,16,86.0,Healthy
62.0,Male,Student,37,12.8,9.5,Excellent,7.7,44.0,2,Low,No,Low,35,72.0,Healthy
49.0,Male,Employed,48,2.4,4.6,Poor,7.2,6.0,7,High,No,Moderate,62,23.0,Critical
22.0,Other,Unemployed,42,6.8,7.2,Good,3.3,19.0,1,Moderate,No,Low,33,70.0,Healthy
49.0,Male,Employed,57,2.8,4.2,Poor,2.4,24.0,8,High,No,Moderate,54,15.0,Needs Attention
19.0,Female,Employed,39,7.5,7.8,Good,8.2,6.0,1,Low,No,Low,0,89.0,Healthy
25.0,Female,Self-Employed,57,11.5,6.6,Average,0.4,6.0,2,Moderate,No,Moderate,52,30.0,Needs Attention
57.0,Other,Unemployed,70,2.1,7.8,Good,3.0,26.0,8,High,Yes,High,65,12.0,Critical
41.0,Female,Self-Employed,67,4.1,4.3,Poor,0.5,34.0,1,High,Yes,High,88,26.0,Critical
42.0,Male,Unemployed,59,6.5,4.9,Poor,4.5,24.0,5,Moderate,No,Moderate,46,50.0,Needs Attention
56.0,Male,Employed,51,9.1,9.1,Excellent,8.6,13.0,6,Moderate,No,High,67,45.0,Critical
,Female,Unemployed,20,13.4,,Good,6.9,26.0,1,Low,No,Low,4,100.0,Healthy
62.0,Female,Unemployed,54,11.5,9.7,Excellent,5.8,13.0,0,Moderate,No,Moderate,42,69.0,Needs Attention
48.0,Other,Employed,52,2.7,9.4,Excellent,6.8,17.0,8,Moderate,No,Moderate,57,41.0,Needs Attention
25.0,Other,Employed,46,13.2,4.1,Poor,9.7,34.0,0,Low,No,Low,24,88.0,Healthy
37.0,Male,Self-Employed,38,9.4,4.9,Poor,4.6,10.0,2,Moderate,No,Low,35,52.0,Healthy
52.0,Male,Student,49,2.1,8.6,Good,9.3,9.0,5,Moderate,No,Low,34,71.0,Healthy
32.0,Female,Student,53,11.2,5.2,Average,2.2,59.0,7,High,Yes,High,95,30.0,Critical
40.0,Female,Student,67,7.3,9.3,Excellent,9.9,51.0,6,Low,No,Low,23,,Healthy
47.0,Other,Employed,22,12.0,7.3,Good,8.2,19.0,7,Low,No,Low,4,89.0,Healthy
56.0,Other,Unemployed,64,8.2,8.1,Good,8.2,23.0,2,Moderate,No,Moderate,44,49.0,Needs Attention
50.0,Male,Employed,63,10.2,9.2,Excellent,8.0,17.0,5,High,Yes,High,67,40.0,Critical
51.0,Other,Unemployed,28,6.2,4.7,Poor,9.2,30.0,7,Low,No,Low,0,91.0,Healthy
25.0,Male,Student,62,7.6,4.2,Poor,5.1,3.0,4,High,Yes,High,100,0.0,Critical
64.0,Other,Student,53,13.6,8.6,Good,2.2,12.0,0,Moderate,No,High,72,29.0,Critical
38.0,Male,Employed,55,,8.2,Good,,5.0,4,Moderate,No,Moderate,57,54.0,Needs Attention
23.0,Male,Student,32,12.1,6.2,Average,3.4,38.0,6,Moderate,No,Moderate,49,64.0,Needs Attention
58.0,Male,Student,31,5.9,4.2,Poor,3.8,43.0,1,Low,No,Low,9,95.0,Healthy
42.0,Female,Employed,39,7.9,9.2,Excellent,8.8,10.0,7,Moderate,No,Low,32,43.0,Healthy
20.0,Male,Student,47,6.9,6.3,Average,3.5,22.0,3,Moderate,No,Moderate,42,56.0,Needs Attention
38.0,Female,Student,33,11.7,8.1,Good,3.4,32.0,4,Moderate,No,Moderate,43,40.0,Needs Attention
35.0,Male,Unemployed,61,11.6,8.8,Good,8.2,,3,High,Yes,High,84,46.0,Critical
57.0,Female,Employed,29,5.6,4.9,Poor,7.5,48.0,1,Low,No,Low,0,100.0,Healthy
45.0,Female,Employed,70,8.6,4.2,Poor,8.0,42.0,7,High,Yes,High,94,17.0,Critical
51.0,Other,Unemployed,69,12.0,7.6,Good,8.1,21.0,3,Moderate,No,Moderate,52,47.0,Needs Attention
61.0,Male,Unemployed,58,9.9,4.1,Poor,0.3,47.0,3,High,Yes,High,100,0.0,Critical
28.0,Female,Student,51,13.1,8.9,Good,4.7,26.0,1,Moderate,No,Moderate,50,53.0,Needs Attention
38.0,Other,Employed,61,9.1,9.8,Excellent,7.6,54.0,7,Moderate,No,Low,29,61.0,Healthy
53.0,Other,Unemployed,30,7.1,8.2,Good,0.5,39.0,5,Moderate,No,Low,25,63.0,Healthy
31.0,Other,Unemployed,21,4.8,8.8,Good,2.9,16.0,7,Low,No,Low,9,100.0,Healthy
48.0,Female,Student,39,6.5,7.7,Good,9.8,42.0,2,Low,No,Low,12,80.0,Healthy
35.0,Other,Self-Employed,47,10.8,7.1,Good,8.9,20.0,8,Moderate,No,Moderate,42,52.0,Needs Attention
53.0,Female,Employed,38,11.0,4.6,Poor,1.8,10.0,3,Moderate,No,Moderate,58,53.0,Needs Attention
27.0,Male,Unemployed,20,9.9,7.6,Good,3.3,2.0,2,Low,No,Low,6,67.0,Healthy
43.0,Female,Self-Employed,39,3.6,8.4,Good,9.0,38.0,8,Low,No,Low,4,96.0,Healthy
61.0,Male,Student,50,10.2,6.6,Average,3.0,8.0,6,Moderate,No,Moderate,50,42.0,Needs Attention
60.0,Female,Student,39,7.5,9.3,Excellent,3.1,46.0,4,Low,No,Low,21,94.0,Healthy
47.0,Other,Self-Employed,63,6.7,6.2,Average,9.6,43.0,0,Low,No,Low,26,84.0,Healthy
25.0,Male,Unemployed,32,12.0,7.5,Good,,53.0,6,Low,No,Low,20,88.0,Healthy
35.0,Other,Unemployed,64,5.5,6.1,Average,4.4,10.0,3,Moderate,No,Moderate,64,43.0,Needs Attention
28.0,Other,Unemployed,23,12.6,5.3,Average,10.0,22.0,8,Moderate,No,Moderate,46,,Needs Attention
62.0,Other,Unemployed,70,12.3,9.8,Excellent,6.1,50.0,8,Moderate,No,High,72,26.0,Critical
46.0,Female,Unemployed,25,11.1,7.0,Good,2.7,45.0,2,Low,No,Moderate,42,71.0,Needs Attention
38.0,Female,Student,61,2.7,8.0,Good,1.5,36.0,8,High,No,Moderate,55,39.0,Critical
59.0,Female,Employed,41,10.9,4.2,Poor,3.9,46.0,4,Moderate,No,Moderate,49,40.0,Needs Attention
